OTUID	env	rho	pvalue	r2	slope	intercept	mean	median	FDR	rhotype	sigcolor	OTUID	Phylum	IncMSE
Geothrix	tiller	0.377723466439685	5.68545723823287e-07	0.14700498179648	11.6009298191405	8.81979888282889	0.460464580173027	0.439827895344552	5.2590479453654e-06	Positive	***	Geothrix	Acidobacteria	0.0504379100591357
Georgfuchsia	tiller	0.249276776030152	0.00124310504321795	0.0416474313880003	5.32595446470293	12.0528654958185	0.395938545808669	0.347003921144309	0.00255527147772579	Positive	**	Georgfuchsia	Betaproteobacteria	0.05454010654325
Sphingomonas	tiller	0.176687859898895	0.0231933846972632	0.021457075705837	4.4808179272066	12.0142046894094	0.479245420611297	0.439013069419077	0.0357564680749474	Positive	*	Sphingomonas	Alphaproteobacteria	0.254747496052615
Geobacter	tiller	0.390177283392786	2.21121825998721e-07	0.110520329835575	7.40578787303975	9.06750597350478	0.687855266102897	0.670377219563026	2.72716918731756e-06	Positive	***	Geobacter	Deltaproteobacteria	0.460853519308635
Pelomonas	tiller	0.326110947146388	1.91502528677013e-05	0.0903083461238699	4.00184200253773	11.6549908629448	0.626367881860863	0.504086934832781	0.00010122276515785	Positive	***	Pelomonas	Betaproteobacteria	0.898158645347706
Anaeromyxobacter	tiller	0.417715986567299	2.37486384514678e-08	0.179451934574088	0.974660076754744	8.92054061129707	5.37733685344938	4.9604886081279	4.39349811352154e-07	Positive	***	Anaeromyxobacter	Deltaproteobacteria	1.51981773901336
Piscinibacter	tiller	0.367771102848838	1.1762384684725e-06	0.121882113801194	9.97648556586795	11.6784160145509	0.248905301438101	0.19685383602675	8.7041646666965e-06	Positive	***	Piscinibacter	Betaproteobacteria	1.84999918624993
Sideroxydans	tiller	0.443899735837258	2.3442402453832e-09	0.205174606182228	1.48590459818019	9.56398933136555	3.09416017413324	2.77101987386458	8.67368890791784e-08	Positive	***	Sideroxydans	Betaproteobacteria	3.5654609965635
Exiguobacterium	tiller	-0.203150884677781	0.00886986155686524	0.0259322069890372	-0.425615096691774	14.5827918621892	0.989569458054288	0.25597813946689	0.0156278513144768	Negtive	*	Exiguobacterium	Firmicutes	0.09588785377368
Ralstonia	tiller	-0.275107756236203	0.000348602975186919	0.0763760661492304	-0.338675212370005	18.9752287808072	14.2130644445633	13.9144362275861	0.00087703673300551	Negtive	***	Ralstonia	Betaproteobacteria	0.108274034190638
Pleomorphomonas	tiller	-0.274725589750303	0.000355555432299531	0.0814219751523368	-2.16644532517377	16.9514681561017	1.28775555148697	1.15004450672241	0.00087703673300551	Negtive	***	Pleomorphomonas	Alphaproteobacteria	0.121560572621602
Tolumonas	tiller	-0.28543560508068	0.000202219326072613	0.043799021861948	-1.449496097793	14.9208365634152	0.523782301280459	0.227015800299701	0.00062350958872389	Negtive	***	Tolumonas	Gammaproteobacteria	0.331579266174515
Burkholderia	tiller	-0.362992685528635	1.65339947765454e-06	0.126619158678791	-0.223510191166716	19.3256520521277	23.1042524886917	21.8087780331583	1.01959634455363e-05	Negtive	***	Burkholderia	Betaproteobacteria	0.905155118607792
Paenibacillus	tiller	-0.292099466147752	0.000140704830689585	0.0972059217260512	-2.09811276446017	15.9614143853213	0.857817679865356	0.558924042222662	0.00057845319283496	Negtive	***	Paenibacillus	Firmicutes	1.29075629182534
