ID	SampleID2	Repetition	Genotype	Group	TillerNumber	group
NpRtBj01	Nip_1	1	Nip	Nipponbare	13	Nipponbare
NpRtBj02	Nip_2	2	Nip	Nipponbare	10	Nipponbare
NpRtBj03	Nip_3	3	Nip	Nipponbare	9	Nipponbare
NpRtBj04	Nip_4	4	Nip	Nipponbare	9	Nipponbare
NpRtBj05	Nip_5	5	Nip	Nipponbare	11	Nipponbare
NpRtBj06	Nip_6	6	Nip	Nipponbare	12	Nipponbare
NpRtBj07	Nip_7	7	Nip	Nipponbare	15	Nipponbare
NpRtBj08	Nip_8	8	Nip	Nipponbare	11	Nipponbare
NpRtBj09	Nip_9	9	Nip	Nipponbare	9	Nipponbare
NpRtBj10	Nip_10	10	Nip	Nipponbare	10	Nipponbare
NpRtBj11	Nip_11	11	Nip	Nipponbare	9	Nipponbare
NpRtBj12	Nip_12	12	Nip	Nipponbare	14	Nipponbare
NpRtBj13	Nip_13	13	Nip	Nipponbare	12	Nipponbare
NpRtBj14	Nip_14	14	Nip	Nipponbare	10	Nipponbare
NpRtBj15	Nip_15	15	Nip	Nipponbare	12	Nipponbare
Nip_16	Nip_16	16	Nip	Nipponbare	8	Nipponbare
Nip_17	Nip_17	17	Nip	Nipponbare	10	Nipponbare
Nip_18	Nip_18	18	Nip	Nipponbare	12	Nipponbare
d10RtBj01	d10_1	1	d10	Mutants	71	Mutants
d10RtBj02	d10_2	2	d10	Mutants	77	Mutants
d10RtBj03	d10_3	3	d10	Mutants	66	Mutants
d10RtBj04	d10_4	4	d10	Mutants	59	Mutants
d10RtBj05	d10_5	5	d10	Mutants	72	Mutants
d10RtBj06	d10_6	6	d10	Mutants	80	Mutants
d10RtBj07	d10_7	7	d10	Mutants	70	Mutants
d10RtBj08	d10_8	8	d10	Mutants	83	Mutants
d10RtBj09	d10_9	9	d10	Mutants	71	Mutants
d10RtBj10	d10_10	10	d10	Mutants	63	Mutants
d10RtBj11	d10_11	11	d10	Mutants	65	Mutants
d10RtBj12	d10_12	12	d10	Mutants	68	Mutants
d10RtBj13	d10_13	13	d10	Mutants	61	Mutants
d10RtBj14	d10_14	14	d10	Mutants	80	Mutants
d10RtBj15	d10_15	15	d10	Mutants	60	Mutants
d10_16	d10_16	16	d10	Mutants	59	Mutants
d10_17	d10_17	17	d10	Mutants	75	Mutants
d10_18	d10_18	18	d10	Mutants	70	Mutants
d14RtBj01	d14_1	1	d14	Mutants	41	Mutants
d14RtBj02	d14_2	2	d14	Mutants	44	Mutants
d14RtBj03	d14_3	3	d14	Mutants	43	Mutants
d14RtBj04	d14_4	4	d14	Mutants	45	Mutants
d14RtBj05	d14_5	5	d14	Mutants	38	Mutants
d14RtBj06	d14_6	6	d14	Mutants	39	Mutants
d14RtBj07	d14_7	7	d14	Mutants	40	Mutants
d14RtBj08	d14_8	8	d14	Mutants	38	Mutants
d14RtBj09	d14_9	9	d14	Mutants	40	Mutants
d14RtBj10	d14_10	10	d14	Mutants	37	Mutants
d14RtBj11	d14_11	11	d14	Mutants	41	Mutants
d14RtBj12	d14_12	12	d14	Mutants	34	Mutants
d14RtBj13	d14_13	13	d14	Mutants	34	Mutants
d14RtBj14	d14_14	14	d14	Mutants	35	Mutants
d14RtBj15	d14_15	15	d14	Mutants	38	Mutants
d14_16	d14_16	16	d14	Mutants	43	Mutants
d14_17	d14_17	17	d14	Mutants	48	Mutants
d14_18	d14_18	18	d14	Mutants	40	Mutants
d17RtBj01	d17_1	1	d17	Mutants	62	Mutants
d17RtBj02	d17_2	2	d17	Mutants	47	Mutants
d17RtBj03	d17_3	3	d17	Mutants	56	Mutants
d17RtBj04	d17_4	4	d17	Mutants	58	Mutants
d17RtBj05	d17_5	5	d17	Mutants	60	Mutants
d17RtBj06	d17_6	6	d17	Mutants	59	Mutants
d17RtBj07	d17_7	7	d17	Mutants	51	Mutants
d17RtBj08	d17_8	8	d17	Mutants	45	Mutants
d17RtBj09	d17_9	9	d17	Mutants	52	Mutants
d17RtBj10	d17_10	10	d17	Mutants	53	Mutants
d17RtBj11	d17_11	11	d17	Mutants	41	Mutants
d17RtBj12	d17_12	12	d17	Mutants	50	Mutants
d17RtBj13	d17_13	13	d17	Mutants	63	Mutants
d17RtBj14	d17_14	14	d17	Mutants	48	Mutants
d17RtBj15	d17_15	15	d17	Mutants	49	Mutants
d17_16	d17_16	16	d17	Mutants	50	Mutants
d17_17	d17_17	17	d17	Mutants	50	Mutants
d17_18	d17_18	18	d17	Mutants	52	Mutants
d53RtBj01	d53_1	1	d53	Mutants	40	Mutants
d53RtBj02	d53_2	2	d53	Mutants	59	Mutants
d53RtBj03	d53_3	3	d53	Mutants	58	Mutants
d53RtBj04	d53_4	4	d53	Mutants	45	Mutants
d53RtBj05	d53_5	5	d53	Mutants	48	Mutants
d53RtBj06	d53_6	6	d53	Mutants	41	Mutants
d53RtBj07	d53_7	7	d53	Mutants	39	Mutants
d53RtBj08	d53_8	8	d53	Mutants	41	Mutants
d53RtBj09	d53_9	9	d53	Mutants	53	Mutants
d53RtBj10	d53_10	10	d53	Mutants	45	Mutants
d53RtBj11	d53_11	11	d53	Mutants	40	Mutants
d53RtBj12	d53_12	12	d53	Mutants	49	Mutants
d53RtBj13	d53_13	13	d53	Mutants	38	Mutants
d53RtBj14	d53_14	14	d53	Mutants	39	Mutants
d53RtBj15	d53_15	15	d53	Mutants	45	Mutants
d53_16	d53_16	16	d53	Mutants	43	Mutants
d53_17	d53_17	17	d53	Mutants	40	Mutants
d53_18	d53_18	18	d53	Mutants	41	Mutants
