OTUID	CorType	rho	pvalue	r2	slope	intercept	mean	median	FDR
Paenibacillus	Negative	-0.292099466	0.000140705	0.097205922	-2.098112764	15.96141439	0.85781768	0.558924042	0.000578453
Sphingomonas	Positive	0.17668786	0.023193385	0.021457076	4.480817927	12.01420469	0.479245421	0.439013069	0.035756468
Geobacter	Positive	0.390177283	2.21e-07	0.11052033	7.405787873	9.067505974	0.687855266	0.67037722	2.73e-06
Burkholderia	Negative	-0.362992686	1.65e-06	0.126619159	-0.223510191	19.32565205	23.10425249	21.80877803	1.02e-05
Geothrix	Positive	0.377723466	5.69e-07	0.147004982	11.60092982	8.819798883	0.46046458	0.439827895	5.26e-06
Sideroxydans	Positive	0.443899736	2.34e-09	0.205174606	1.485904598	9.563989331	3.094160174	2.771019874	8.67e-08
Exiguobacterium	Negative	-0.203150885	0.008869862	0.025932207	-0.425615097	14.58279186	0.989569458	0.255978139	0.015627851
Anaeromyxobacter	Positive	0.417715987	2.37e-08	0.179451935	0.974660077	8.920540611	5.377336853	4.960488608	4.39e-07
Tolumonas	Negative	-0.285435605	0.000202219	0.043799022	-1.449496098	14.92083656	0.523782301	0.2270158	0.00062351
Pelomonas	Positive	0.326110947	1.92e-05	0.090308346	4.001842003	11.65499086	0.626367882	0.504086935	0.000101223
Pleomorphomonas	Negative	-0.27472559	0.000355555	0.081421975	-2.166445325	16.95146816	1.287755551	1.150044507	0.000877037
Ralstonia	Negative	-0.275107756	0.000348603	0.076376066	-0.338675212	18.97522878	14.21306444	13.91443623	0.000877037
Piscinibacter	Positive	0.367771103	1.18e-06	0.121882114	9.976485566	11.67841601	0.248905301	0.196853836	8.7e-06
Georgfuchsia	Positive	0.249276776	0.001243105	0.041647431	5.325954465	12.0528655	0.395938546	0.347003921	0.002555271
